ucla_scale,text_lone,loneliness,la,sr,sb,others,score_lone,text_la,score_la,text_sr,score_sr,text_sb,score_sb
32.0,ゲーム好き友達とかも、リアル友達以外に居るから孤独感は無い,False,,,,,1.0,恋人は作った事がある。4人もでも、ほとんどが親に別れさせられたり喧嘩とかで別れたけど、ゲームや異世界漫画・アニメに親友そして義妹達が居る（有る）から愛情で満たされてると思う。,4.0,毎日勉強と友人達の喧嘩を収めている,4.0,団体行動とかでは、合わせることができる。,4.0
26.0,色々なことに興味を持っているから,False,,,,,1.0,恋人とお出かけに行くことが多いから,4.0,親や周りの人に褒められることが多い,4.0,大学で馴染めている感じがする,4.0
52.0,高校に馴染めなかった,True,,,True,,3.0,高校で友達ができなかった,2.0,高校に受け入れられなかった,2.0,家族に属していると感じている,3.0
50.0,LINEする相手が少ない,True,True,True,,,2.0,LINEが返ってこない,3.0,友達とかにおめでとうと誕生日を祝ってもらった,3.0,会いたいと思われる時がある,3.0
38.0,自分と似た趣味の友達がいる。,False,,,,,2.0,ペットが出迎えてくれる。,4.0,仲間に自分の要望をよく聞いてもらえる。,3.0,仲間が優しくいつも迎えてくれる,4.0
45.0,日々の生活に満足しているから,False,,,,,1.0,幸せに家族や友達と暮らせているから,3.0,周りのに無視されることはあまりない,3.0,クラスに馴染めていると感じる,4.0
53.0,自分をわかってもらえない,True,,,True,,3.0,話していて楽しくない,2.0,悪口や陰口を言われた,2.0,避けられている気がする,2.0
52.0,何か誰かに聞きたいことや話したいことがあるのに離せない時がたまにあるから,True,True,,,,3.0,家族が自分に優しく接してくれるから,3.0,友達から遊びに誘われて一緒に遊んだプレゼントをあげたら喜ばれた,4.0,体調が悪いわけでも行きたくないわけでもないが学校に馴染めてない気がして行きにくい,2.0
48.0,クラスで友達がいるが時々一人のこともあるため,True,True,,,,3.0,家族が気にかけてくれるから,4.0,友達が手伝いを積極的にしてくれた,3.0,家族とたくさん話すから,4.0
50.0,受験などの苦労を強いられるときに自分以外は楽そうにしている時に辛くなる,True,,,True,,3.0,毎日挨拶をしてくれる人がいる,3.0,成績が良かったことを認識してもらい褒められた,3.0,特に話すことがなくても話しかけてくれる人たちがいる,3.0
45.0,友だちを誘ってたくさん遊んだりしているが、たまに浮いていると感じることがある,True,,,True,,2.0,友だちに悩み相談をすると、快く返してくれる,3.0,地元の友だちとは過ぎたいじりがあるが、優しくとても受け入れられているように感じる,3.0,ある団体に入っていてとてもみんな優しく受け入れてくれている,4.0
69.0,人との関わりが怖く感じるためあまり関わらないようにしている。,False,,,,,4.0,家族ともまともに会話をしていないので、愛情が全くなく感じる。,1.0,注意されてもすぐに修正したり、行動を起こすので、素直で真面目と評価されている。,3.0,周りからも評価が高いのでもっと期待に応えられるように頑張れる。,3.0
48.0,趣味に夢中になっておりあまり孤独に感じないから,False,,,,,2.0,応答してくれてうれしいから,4.0,作業を頑張ったら褒めてくれた,3.0,クラスに馴染んでいると思うから,3.0
51.0,家族との食事の機会の会話で自分の言葉で本音を伝えられている,False,,,,,2.0,帰りを心配する家族の連絡や電話でそのように感じる,3.0,家族や祖父へのお土産を買い喜んでもらえたことが嬉しい,3.0,自身が出社しないと業務が滞る、自分が必要とされている,3.0
42.0,常に誰かとはメッセージでやり取りできるのであまり感じない,True,,True,,,2.0,帰宅も1人、ペットもいないのであまりない,2.0,自分から遊びに誘うと大体は予定を調整してくれて、結果実現できるから,3.0,大学の授業で誰かとは一緒に受講できるから,4.0
50.0,周りに人はいるけど特にコミュニケーションしてない時,True,True,,,,3.0,帰ると家があるし人もいるから,3.0,頑張ったら周りから褒められた,2.0,クラブでスタメンとして属しているから,3.0
78.0,大学で親しい友人ができづ、彼女もできないので自分が拒絶されていると感じる,True,True,,True,,4.0,友人から連絡が来ることがほとんどない、馬を見に行った時に、馬が自分を見つけて近寄ってきてくれる時だけが愛情を受けていると感じる,2.0,女の子を食事に誘ったら3回もドタキャンされた,1.0,大学のサークルに所属していないので所属がない,1.0
44.0,1人でいる時に、話し相手がいないこと、他の人が何をしているのか気にしてしまう。,True,True,,True,,3.0,他人との関わりがある時にはそう感じないが、1人になるとあまり感じられない。,2.0,クラスの中で発言できる、自分の考えを認めてくれる人がいる、話し相手がいる。,4.0,クラスの中で馴染めている,3.0
50.0,テレビ等を見ることによって孤独感を感じないため,False,,,,,1.0,恋人が常に自分を考えてくれているため,4.0,帰省するさい親が喜んでくれる,3.0,学校に馴染んでいるため,4.0
61.0,小学校のときにいじめまではいかないが、数人から意地悪を受けたので中学に入ってすぐ不登校になった。それから仲の良かった友達とも会わなくなり、家からも殆ど出ないので母親と話すぐらいしかコミュニケーションをとらなくなった。ぬいぐるみと話しているときが一番落ち着く。,True,True,,True,,3.0,ぬいぐるみと話しているとちゃんと聞いてくれている気がして嬉しい。,3.0,不登校で高校頑張って久しぶりに行った際、よく来たなと言われドリンクを１本奢ってもらった。でもその先生が転勤になり１年でいなくなってしまったのが悲しい。,3.0,クラスなどで他の人達の集団が笑っているのを聞くと関係ないとはわかっていても不安になる。,2.0
40.0,部活のみんなでカラオケに行く。,False,,,,,2.0,いつもおはようございますと言われる。,3.0,ボランティアでみんなと談笑する。,3.0,サークルでよく飲みに誘われる。,3.0
46.0,飼っていた犬が死んでしまったため,True,True,,,,3.0,自分を心配する人がいるから,3.0,自分が変なことをしても冷たい目で見られることがない,3.0,クラスに馴染めていると感じる,3.0
53.0,休学中で寂しいですぬ,True,True,,,,3.0,ペットがいないのでほしい,2.0,家族が優しいのど大丈夫,3.0,大学生とで休学中なため,2.0
35.0,友達は多いが、本当に心を通わせることのできる親友が今の環境にはいないと感じている。,True,True,,,,3.0,いつも家族と仲良く会話を楽しんでいる。,3.0,クラスを盛り上げるために自分の提案したものがクラス全員に受け入れられて、皆積極的に協力してくれた。,4.0,クラスに馴染めている。クラスメートが自分に協力的である。,4.0
46.0,恋人がいない為孤独感を感じている,True,True,,,,4.0,恋人がいない為満たされていない,3.0,受け入れられないと感じることはないから,3.0,特に違和感を感じることがないから,3.0
43.0,自分の趣味に没頭することがあり、その度に周りの人々から良い印象、悪い印象を与える-どちらに転ぶか分からない。,False,,,,,3.0,祖父母の家でペットを飼っているが、家に来た時は尻尾をフリフリしていて、自分を大切にしてくれていることを感じられ、心が癒される。,4.0,趣味の成果を実際に演じてみたところ、褒めてくれたことがある。,3.0,そのような環境に属しているとは思うが、やはりなかなか馴染めない。,3.0
43.0,チームスポーツをやっていたことから人と話したりコミュニケーションをとることが当たり前の環境にいたから孤独感はない。,False,,,,,2.0,家族や仲のいい友人ががいるから。,4.0,仲のいい友人がたくさんいるので大丈夫,4.0,家族や友人などに恵まれているから。,4.0
34.0,学校で友達と会話して楽しく過ごせている,False,,,,,2.0,家族や友達と楽しく過ごせている,4.0,先生や家族から努力したことについて正当に評価して貰えた,3.0,学校で仲のいい友達と話すのが楽しい,4.0
50.0,クラスの人と話が合わなくてクラスでは一人に感じることがあります,True,True,,True,,3.0,家族は消して裏切らない,3.0,先生から、提出物を誰よりも早いと褒めてくれた,3.0,唯一楽しいのが部活動で、ボランティア活動をしていると、決まった人が僕を真面目な人だねと言ってくれた,3.0
47.0,学校に共通の趣味がある友達がいて、毎日話しているので孤独感はない。,False,,,,,2.0,学校から帰ると親が話を聞いてくれる。送り迎えをしてくれる。,4.0,友達に友達がわからない問題の解き方を教えたら感謝された。,3.0,友達が自分の話を聞いてくれる。,3.0
25.0,クラスでは仲の良い友達と良好な関係である,False,,,,,1.0,家族から愛されていると感じる,4.0,家族や友人から誕生日プレゼントをもらった,4.0,学校に馴染めているとかんじる,4.0
38.0,仲のいい人がたくさんクラス以外にもいるから,False,,,,,2.0,友達と話すのが楽しい,3.0,宿題のはんいなどをきかれたときにこたえたらありがとうといわれた,3.0,つねにはなせるひとがいる,4.0
49.0,本音をいえる友達がいない,True,True,,,,3.0,迎えてくれる人がいる,3.0,言動が受け入れられる,3.0,言動が受け入れられる,3.0
58.0,友達と遊ぶ事が少ないから。,True,True,,,,3.0,自分の相手をしてくれる人がなかなかいないから。,2.0,自分の言動で相手から離れられたから。,3.0,部活動で仲間と楽しくやっているから。,3.0
54.0,孤独感はない彼女がいて幸せだから,False,,,,,2.0,満たされている彼女が会ってくれる！,4.0,クラスメイトが怖く感じあまり話をできない,2.0,周りと馴染めていない,3.0
37.0,毎日多くの人が話してくれたり、遊んでくれたりしているし、家族とも仲が良いので充実しているため、孤独感はない。,False,,,,,2.0,家族が、困ってる時にそっと手を差し伸べてくれたり、風邪をひいた時看病してくれたり、心にくる言葉をかけてくれるから。,4.0,私の話を一生懸命聞いてくれたり、笑ってくれたりするから。,4.0,友達や先生と話すのが楽しくて、毎日ワクワクして投稿してるから。,4.0
35.0,自分に直接は関係ないが、周りの人間関係が複雑で自分と関係ないところで自分の人付き合いが変化することがあるから。AとBと仲が良いが、自分の関与していないところでAと Bに問題が発生して自分の人間関係も変わるイメージ,True,True,,,,3.0,学校の問題もあるが、男女関係が少ない,3.0,スピーチでボケたらめちゃくちゃウケた,4.0,仲良しグループというものが存在せず、広くいろんな人と付き合いがあるので受け入れられているという表現があっているかは微妙だが、避けられているなどとは感じないから。,3.0
51.0,親友とまで呼べるような人が身近にいないため。,True,True,,,,3.0,友人たちとグループチャットで楽しく会話することができているため。,3.0,友人にプレゼントを渡したら喜んでもらえた,3.0,学校に馴染めていると感じることができている,3.0
47.0,地元で暮らしているので、幼い頃からの友達もいるし、新たに大学で出会った友達もいるし、親も家にいるので孤独感はあまり感じません。,False,,,,,2.0,猫が3匹もいるし、家にはいつも母がいるので,4.0,友達がたくさん遊びに誘ってくれる。しかし、バイトではミスが多くて裏でなにか言われてた,3.0,毎日楽しいと思って生活できているから、,3.0
45.0,1人でも十分充実することができるから。,False,,,,,2.0,家族と話すと感じることが出来る。,3.0,友達に遊びに誘われる。,4.0,学校に馴染めていると思う。,4.0
63.0,浅い関係の人間関係しか作れない。人と深く関わるのが苦手。,True,True,,,,3.0,自分のことを1番に思ってくれる人はいないから。,1.0,バイトで頑張ったらその分きちんと評価されるから,3.0,バイト先では受け入れられていると思う。,4.0
51.0,何もすることがなく一人でいる時,False,,,,,3.0,週一回ほど家族と電話する,3.0,家族や友達に頼られた,3.0,サークルや課外活動グループで活動,3.0
45.0,去年までは大学やそれ以前の小中高でそこまで親しい友だちを作るために努力するのが億劫で、そのおかげで寂しい思いをすることも多かったが、今年に入って学科に分かれると、同じ学科の中で近しい興味を持った人と自然と親しくなれた。,False,,,,,2.0,恋人がめちゃくちゃ甘えてくれる,3.0,褒められたりすることはあるが、私の行動に対して得られたリアクションが、どこまでが本気でどこからがお世辞なのか分からないので受け入れられているのか分からず、少し不安。,2.0,学校の友人や部活のメンバーといると居心地が良い。,3.0
41.0,クラスで1人でいてもだれかしら声をかけてくれて1人でいることがあまりない。,False,,,,,2.0,友達と毎日学校から帰った後も連絡を取ったり電話している,3.0,誕生日にサプライズパーティーをしてくれた,3.0,クラスで何かする際はかならず声をかけてもらえる,3.0
62.0,クラスが変わって中々馴染めない。また部活でも話せる人が少ないから,True,True,,True,,3.0,友達や知り合いが少なく、連絡を取ったりすることもほぼないから。,2.0,部活を頑張っていたら、先生など色々な人に褒められた。,3.0,クラスの人で知り合いがほぼ居ないから、なんとなく腫れ物扱いのように扱われている気がするから,2.0
35.0,たまに友達と会えるだけで充分なので、他の人との関わりが少なくても孤独感はない,False,,,,,1.0,家族や友達の言動から大切にされてるなと感じるから。,4.0,バイトの頑張りを褒めてもらえたり、友達へのサプライズを喜んでもらえたから。,4.0,職場に馴染めていると感じる。,4.0
71.0,友達は少しいた時期もあったけど、私が事故で足が不自由になり車椅子生活になったことを知った途端に皆離れていき、友達と呼べるような存在の人は今一人もいない。,True,True,,,,4.0,母親が私を心配してくれたり、「大事な娘、大好きな娘」などと言われた時、母親とハグをした時にぎゅっと強く抱き締めてくれた温もり,2.0,事故で障害者になった結果、お金が掛かることが増えて元々貧乏だったのが更にお金に困るような生活になってしまったこと,2.0,外出するとジロジロとこちらを見てくる人達が多数いる,4.0
36.0,2人組なのでともだちがやすむと1人になります。,True,True,,,,3.0,犬が朝口をぺろぺろしてくれます。,4.0,学校で毎日勉強に励んだら、部活勉強共に上手くいったこと。,3.0,学校で色んな友達が優しく接してくれて、上手く馴染めていると思います。,3.0
37.0,毎日登校しているので人と関わる機会が多い,False,,,,,2.0,darlingが休みの日はほとんど全部会ってくれる,3.0,相談に乗ってあげたら、すごく感謝され、優しいと言われた,4.0,1人でいると誰か話しかけてくれることが多い,4.0
31.0,私のことを好きでいてくれる友達がいるから,False,,,,,1.0,恋人が愛してくれるから,4.0,恋人の誕生日にサプライズしたら喜んでもらえた,4.0,学校に馴染めていると感じる,4.0
51.0,一人暮らしを始め寂しい,True,True,,,,3.0,一緒にいると元気が出る,3.0,学校で常に友達といてくれる,3.0,友達と話す時楽しい！,3.0
48.0,やりたい事をやってそちらに集中している為孤立感は感じない,False,,,,,1.0,家族からは愛されていると常々実感しているため,4.0,友だちから会話が面白いとよく褒められる,3.0,上手く周りに馴染めるのが得意なため,3.0
41.0,他のコミュニティには友達が沢山いるが自分の大学の中には軽く挨拶はするが会話を楽しめる友達がいなく基本一人で寂しい,True,True,,True,,3.0,恋人は夜電話してくれるし高校の時の友達とのサークル活動は楽しめている,3.0,自分でサークルを立ち上げ趣味の合う人たちと楽しんで交流している。大学で仲良くしたい人間がいないので1人になる,3.0,少し間が空いても気まずくないサークルに属している,3.0
26.0,毎日話す友達がいるので感じない,False,,,,,1.0,家族が毎日出迎えてくれるから,3.0,友達にサプライズしたら喜んでもらえた,4.0,クラスに馴染めている感じがする,4.0
